Date,Net Income,Depreciation & Amortization,Share-Based Compensation,Other Operating Activities,Operating Cash Flow,Operating Cash Flow Growth,Capital Expenditures,Acquisitions,Change in Investments,Other Investing Activities,Investing Cash Flow,Share Issuance / Repurchase,Debt Issued / Paid,Other Financing Activities,Financing Cash Flow,Exchange Rate Effect,Net Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Margin,Free Cash Flow Per Share,Adj Close
2023-06-30,2703.0,1154.0,445.0,-1237.0,3065.0,0.3037,-2060.0,-76.0,-1398.0,,-3534.0,63.0,-357.0,-34.0,-328.0,-94.0,-891.0,1005.0,0.6184000000000001,0.0403,0.32,261.7699890136719
2023-03-31,2513.0,1046.0,418.0,-1464.0,2513.0,-0.371,-2073.0,0.0,-411.0,,-2484.0,231.0,-421.0,-43.0,-233.0,50.0,-154.0,440.0,-0.8020999999999999,0.0189,0.14,207.4600067138672
2022-12-31,3687.0,989.0,419.0,-1817.0,3278.0,-0.2851,-1858.0,0.0,-4349.0,76.0,-6131.0,67.0,-497.0,-65.0,-495.0,123.0,-3225.0,1420.0,-0.4875,0.0584,0.45,
2022-09-30,3292.0,956.0,362.0,490.0,5100.0,0.6206,-1803.0,0.0,-988.0,,-2791.0,229.0,-899.0,-42.0,-712.0,-335.0,1262.0,3297.0,1.4938999999999998,0.1537,1.05,265.25
2022-06-30,2259.0,922.0,361.0,-1191.0,2351.0,0.1069,-1730.0,0.0,846.0,,-884.0,43.0,-402.0,-47.0,-406.0,-214.0,847.0,621.0,0.0197,0.036699999999999997,0.2,224.47332763671875
2022-03-31,3318.0,880.0,418.0,-621.0,3995.0,1.4344999999999999,-1772.0,0.0,-386.0,-9.0,-2167.0,202.0,-2068.0,-48.0,-1914.0,-18.0,-104.0,2223.0,6.9110000000000005,0.1185,0.72,359.20001220703125
2021-12-31,2321.0,848.0,558.0,858.0,4585.0,0.5186999999999999,-1814.0,0.0,-102.0,,-1916.0,262.0,-1456.0,-63.0,-1257.0,38.0,1450.0,2771.0,0.4938,0.1564,0.91,352.260009765625
2021-09-30,1618.0,761.0,475.0,293.0,3147.0,0.31129999999999997,-1825.0,0.0,-30.0,,-1855.0,192.0,-1530.0,-43.0,-1381.0,-42.0,-131.0,1322.0,-0.041299999999999996,0.09609999999999999,0.44,258.49334716796875
2021-06-30,1142.0,681.0,474.0,-173.0,2124.0,1.2033,-1515.0,0.0,0.0,,-1515.0,70.0,-1588.0,-31.0,-1549.0,42.0,-898.0,609.0,0.5302,0.0509,0.21,226.56666564941406
2021-03-31,438.0,621.0,614.0,-32.0,1641.0,,-1360.0,0.0,-1228.0,6.0,-2582.0,183.0,-1167.0,-32.0,-1016.0,-221.0,-2178.0,281.0,,0.027000000000000003,0.1,222.64332580566406
2020-12-31,270.0,618.0,633.0,1498.0,3019.0,1.1186,-1164.0,0.0,0.0,117.0,-1047.0,5043.0,-2305.0,-46.0,2692.0,234.0,4898.0,1855.0,0.9006000000000001,0.1727,0.65,235.22332763671875
2020-09-30,331.0,584.0,543.0,942.0,2400.0,2.1746,-1021.0,-13.0,0.0,-5.0,-1039.0,5117.0,-587.0,-80.0,4450.0,86.0,5897.0,1379.0,2.9855,0.1572,0.49,143.00332641601562
2020-06-30,104.0,567.0,347.0,-54.0,964.0,0.1157,-566.0,0.0,0.0,,-566.0,57.0,111.0,-45.0,123.0,38.0,559.0,398.0,-0.3322,0.0659,0.14,71.98733520507812
2020-03-31,16.0,553.0,211.0,-1220.0,-440.0,,-481.0,0.0,0.0,1.0,-480.0,2469.0,287.0,-48.0,2708.0,-24.0,1764.0,-921.0,,-0.1539,-0.34,34.93333435058594
2019-12-31,105.0,577.0,281.0,462.0,1425.0,0.15380000000000002,-449.0,0.0,0.0,46.0,-403.0,96.0,-200.0,25.0,-79.0,14.0,957.0,976.0,0.10779999999999999,0.1322,0.36,27.8886661529541
2019-09-30,143.0,530.0,199.0,-116.0,756.0,-0.45649999999999996,-410.0,-76.0,0.0,,-486.0,71.0,45.0,2.0,118.0,-11.0,377.0,346.0,-0.5841,0.054900000000000004,0.13,16.058000564575195
2019-06-30,-408.0,579.0,210.0,483.0,864.0,,-268.0,32.0,0.0,-5.0,-241.0,1040.0,1601.0,-498.0,2143.0,0.0,2766.0,596.0,,0.09390000000000001,0.22,
2019-03-31,-702.0,468.0,208.0,-614.0,-640.0,,-305.0,-1.0,0.0,,-306.0,78.0,-685.0,-46.0,-653.0,5.0,-1594.0,-945.0,,-0.20809999999999998,-0.36,
2018-12-31,140.0,497.0,205.0,393.0,1235.0,1.4237,-354.0,-11.0,0.0,,-365.0,76.0,-213.0,25.0,-112.0,-4.0,754.0,881.0,,0.1219,0.34,22.18666648864746
2018-09-30,311.0,502.51,205.02,372.51,1391.0,,-559.15,-1.4,0.0,,-560.55,94.93,-221.31,42.1,-84.28,-6.49,739.72,831.89,,0.1219,0.32,
2018-06-30,-717.54,485.26,197.34,-94.72,-129.66,,-677.21,-5.6,0.0,,-682.82,31.05,245.6,121.97,398.62,-22.61,-436.47,-806.88,,-0.2016,-0.32,
2018-03-31,-709.55,416.23,141.64,-246.7,-398.38,,-728.64,0.0,0.0,,-728.64,94.02,262.71,14.93,371.66,10.1,-745.25,-1127.01,,-0.3306,-0.44,
2017-12-31,-675.95,469.6,134.59,581.3,509.55,,-905.79,-5.85,0.0,,-911.64,72.5,262.4,-48.92,285.98,4.26,-111.86,-396.24,,-0.12050000000000001,-0.16,
2017-09-30,-619.38,400.62,112.65,-194.46,-300.56,,-1244.73,0.0,0.0,,-1244.73,80.42,2028.0,-6.54,2102.0,7.8,564.02,-1545.29,,-0.5177,-0.62,
2017-06-30,-336.4,389.17,116.04,-368.99,-200.17,,-1157.91,0.0,0.0,,-1157.91,101.61,156.7,170.47,428.77,16.29,-913.02,-1358.08,,-0.4868,-0.55,24.107332229614258
2017-03-31,-330.28,376.6,103.72,-219.85,-69.81,,-772.57,-109.15,0.0,,-881.72,457.48,1225.0,-84.01,1599.0,11.64,658.86,-842.38,,-0.3124,-0.35,18.553333282470703
2016-12-31,-121.34,326.94,87.71,-741.52,-448.21,,-681.28,342.72,0.0,79.16,-259.41,10.36,1184.0,178.31,1373.0,-20.05,645.16,-1129.49,,-0.49439999999999995,-0.48,
2016-09-30,21.88,280.47,89.54,31.76,423.65,,-247.61,0.0,0.0,-20.4,-268.01,42.98,-361.55,-2.31,-320.87,3.18,-162.04,176.04,,0.0766,0.08,13.60200023651123
2016-06-30,-293.19,183.23,67.31,192.98,150.34,,-294.72,0.0,16.67,-41.8,-319.85,1759.0,231.94,-14.73,1977.0,-2.55,1805.0,-144.38,,-0.1137,-0.07,14.152000427246094
2016-03-31,-282.27,156.46,89.66,-213.46,-249.61,,-216.86,0.0,0.0,-16.96,-233.82,52.84,663.64,-1.04,715.44,12.87,244.88,-466.46,,-0.4067,-0.23,15.317999839782715
2015-12-31,-320.4,143.72,55.64,91.19,-29.85,,-411.22,0.0,0.0,-3.06,-414.28,12.59,212.92,-0.47,225.04,-10.04,-229.13,-441.07,,-0.3632,-0.22,16.000667572021484
2015-09-30,-229.86,110.37,56.0,-139.85,-203.34,,-392.4,0.0,0.0,-11.69,-404.09,785.16,120.14,-11.31,893.98,-11.19,275.36,-595.74,,-0.6359,-0.31,16.559999465942383
2015-06-30,-184.23,91.39,43.34,-110.01,-159.52,,-405.17,-12.26,0.0,-5.41,-422.84,23.65,198.98,-4.29,218.35,4.6,-359.4,-564.68,,-0.5913,-0.3,17.884000778198242
2015-03-31,-154.18,77.11,43.03,-97.75,-131.79,,-426.06,0.0,0.0,-6.28,-432.34,35.22,151.9,-0.96,186.16,-17.66,-395.64,-557.85,,-0.5935,-0.29,12.584667205810547
2014-12-31,-107.63,67.98,44.52,-91.27,-86.4,,-368.66,0.0,-0.01,-3.56,-372.23,10.53,0.79,0.0,11.33,-17.71,-482.83,-455.06,,-0.4757,-0.24,14.827333450317383
2014-09-30,-74.71,64.97,39.16,-57.42,-28.0,,-284.18,0.0,-5.56,-1.91,-291.64,36.81,-3.06,,33.75,-18.29,-286.36,-312.17,,-0.3665,-0.17,16.178667068481445
2014-06-30,-61.9,54.72,35.78,-30.26,-1.66,,-175.69,0.0,177.97,0.32,2.61,68.15,296.9,-83.56,281.49,-1.44,281.0,-177.35,,-0.2305,-0.1,16.003999710083008
2014-03-31,-49.8,44.27,37.04,27.22,58.72,-0.0836,-141.36,0.0,-189.11,1.3,-329.18,374.13,1997.0,-555.02,1817.0,1.92,1548.0,-82.64,,-0.1332,-0.04,13.896666526794434
2013-12-31,-16.26,37.59,25.17,87.5,133.99,,-89.43,0.0,0.0,-0.07,-89.51,13.09,-2.05,-0.53,10.52,-4.23,48.19,44.55,,0.0724,0.02,10.028667449951172
2013-09-30,-38.5,28.45,20.98,91.1,102.04,,-76.55,0.0,0.0,-0.95,-77.5,27.13,-2.75,-0.17,24.22,0.31,48.75,25.49,,0.0591,0.01,12.891332626342773
